HappinessScore,Freedom
3.724,0.2287
3.695,0.13684
3.666,0.3176
3.622,0.25748
3.607,0.30953
3.515,0.5432
3.484,0.39747
3.36,0.1643
3.303,0.34678
3.069,0.06912
2.905,0.0432
7.587,0.66557
7.561,0.62877
7.527,0.64938
7.522,0.66973
7.427,0.63297
7.406,0.64169
7.378,0.61576
7.364,0.6598
7.286,0.63938
7.284,0.65124
7.278,0.41319
7.226,0.63376
7.2,0.62433
7.187,0.48181
7.119,0.54604
6.983,0.49049
6.946,0.61583
6.94,0.61777
6.937,0.5845
6.901,0.64157
6.867,0.59625
6.853,0.63274
6.81,0.42908
6.798,0.54252
6.786,0.5421
6.75,0.61477
6.67,0.44132
6.611,0.6404
6.575,0.55011
6.574,0.44974
6.505,0.46364
6.485,0.60362
6.477,0.53466
6.455,0.55664
6.411,0.31048
6.329,0.45951
6.302,0.60365
6.298,0.3974
6.295,0.55499
6.269,0.59657
6.168,0.55884
6.13,0.4035
6.123,0.57733
6.003,0.65821
5.995,0.31751
5.987,0.49615
5.984,0.33208
5.975,0.48574
5.96,0.45492
5.948,0.26236
5.89,0.57414
5.889,0.32818
5.878,0.53899
5.855,0.51649
5.848,0.60855
5.833,0.21342
5.828,0.55475
5.824,0.41496
5.813,0.37938
5.791,0.53122
5.77,0.53024
5.759,0.25883
5.754,0.41668
5.716,0.36679
5.709,0.50442
5.695,0.49027
5.689,0.40672
5.605,0.28579
5.589,0.24749
5.548,0.4761
5.477,0.56066
5.474,0.59608
5.429,0.44888
5.399,0.46611
5.36,0.59444
5.332,0.22815
5.286,0.43477
5.268,0.34334
5.253,0.53206
5.212,0.3703
5.194,0.12102
5.192,0.40661
5.192,0.1826
5.14,0.51697
5.129,0.48827
5.124,0.35068
5.123,0.20107
5.102,0.51469
5.098,0.29671
5.073,0.62545
5.057,0.46582
5.013,0.41691
5.007,0.33457
4.971,0.34037
4.959,0.35733
4.949,0.09245
4.898,0.31767
4.885,0.57672
4.876,0.59591
4.874,0.43626
4.867,0.30658
4.857,0.07699
4.839,0.33916
4.8,0.32112
4.788,0.40148
4.786,0.47216
4.739,0.26268
4.715,0.24499
4.694,0.4082
4.686,0.30033
4.681,0.25123
4.677,0
4.642,0.33207
4.633,0.42342
4.61,0.25861
4.571,0.28531
4.565,0.39786
4.55,0.10081
4.518,0.24425
4.517,0.22605
4.514,0.38282
4.512,0.4345
4.507,0.4084
4.436,0.24232
4.419,0.42215
4.369,0.46074
4.35,0.19847
4.332,0.49495
4.307,0.44017
4.297,0.40577
4.292,0.43054
4.271,0.53726
4.252,0.49309
4.218,0.30587
4.194,0.17288
4.077,0.35571
4.033,0.10384
3.995,0.38857
3.989,0.41466
3.956,0.22917
3.931,0.45727
3.904,0.36772
3.896,0.31914
3.845,0.47692
3.819,0.66246
3.781,0.32878
3.681,0.19184
3.678,0.48879
3.667,0.23501
3.656,0.37725
3.655,0.46866
3.587,0.39493
3.575,0.23414
3.465,0.59201
3.34,0.4845
3.006,0.15684
2.905,0.1185
2.839,0.36453
